"title_1","title_2"
"'Allo 'Allo!","'Allo 'Allo!"
"'Allo 'Allo!","'Allo 'Allo! at the London Palladium"
"'Allo 'Allo!","(#1.1)"
"'Allo 'Allo!","(#1.11)"
"'Allo 'Allo!","(#1.32)"
"'Allo 'Allo!","(#1.4)"
"'Allo 'Allo!","(#1.6)"
"'Allo 'Allo!","(#1.6)"
"'Allo 'Allo!","(#2.2)"
"'Allo 'Allo!","(#2.7)"
"'Allo 'Allo!","(#3.5)"
"'Allo 'Allo!","(#32.8)"
"'Allo 'Allo!","(#4.36)"
"'Allo 'Allo!","(#5.26)"
"'Allo 'Allo!","(#73.104)"
"'Allo 'Allo!","(#73.105)"
"'Allo 'Allo!","... But We Think You Have to Go"
"'Allo 'Allo!","A Blast from the Past"
"'Allo 'Allo!","A Call to Arms"
"'Allo 'Allo!","A Fish Called Wanda"
"'Allo 'Allo!","A Night of Comic Relief 2"
"'Allo 'Allo!","Bill Bailey: Part Troll"
"'Allo 'Allo!","Britain's Best Loved Sitcoms"
"'Allo 'Allo!","Casablanca"
"'Allo 'Allo!","Charity Begins at Home"
"'Allo 'Allo!","Comic Relief Does University Challenge"
"'Allo 'Allo!","Common Entrance"
"'Allo 'Allo!","De kimono tevens huisjas"
"'Allo 'Allo!","Drinks"
"'Allo 'Allo!","El Monasterio del Tiempo"
"'Allo 'Allo!","Get Me Roger Slippers"
"'Allo 'Allo!","Greatest Ever Sitcoms"
"'Allo 'Allo!","Hitler: The Comedy Years"
"'Allo 'Allo!","John Howard Davies: A Life in Comedy"
"'Allo 'Allo!","Night of a Thousand Shows"
"'Allo 'Allo!","South Pacific"
"'Allo 'Allo!","The Best of 'Allo 'Allo!"
"'Allo 'Allo!","The Funny Blokes of British Comedy"
"'Allo 'Allo!","The Return of 'Allo 'Allo!"
"'Allo 'Allo!","The Unseen Frank Skinner TV Show"
"'Allo 'Allo!","TV Hell"
"'Allo 'Allo!","War"
"'Allo 'Allo!","When TV Goes to War"
"'Allo 'Allo!","You Have Been Watching... David Croft"
"'Da Kink in My Hair","Embracing da Kink"
"'Da Kink in My Hair","Kink in My Hair"
"'Sang linggo nAPO sila","Father & Son"
"'t Schaep Met De 5 Pooten","(#14.15)"
"'t Schaep Met De 5 Pooten","(#18.4)"
"'t Schaep Met De 5 Pooten","Citroentje met suiker"
"'t Schaep Met De 5 Pooten","Piet Römer: Van Stiefbeen tot Baantjer"
"'t Schaep Met De 5 Pooten","t Schaep met de 5 pooten"
"'t Zonnetje in huis","Tom, Dick and Harriet"
"'Til Death","(#8.140)"
"'Til Death","Family Gay"
"'Til Death","Ship'rect"
"'Til Death Do Us Part","(#2.24)"
"'Til Death Do Us Part","This Filthy World"
"'Way Out","Science Fiction: A Journey Into the Unknown"
"#1 Single","Lisa Loeb & Sister"
"#lovemilla","Lovemilla"
"#MonologueWars","Trainspotting"
"#PréTVB","The Voice Brasil"
"$#*! My Dad Says","(#1.22)"
"$#*! My Dad Says","(#15.40)"
"$#*! My Dad Says","Anthropology 101"
"$#*! My Dad Says","Cannibal Holocaust"
"$#*! My Dad Says","El Skeletorito"
"$#*! My Dad Says","Jonathan Sadowski vs. Lenny Jacobson"
"$#*! My Dad Says","Katie Holmes/Rick Harrison/Ellen DeGeneres"
"$#*! My Dad Says","Love Gets Liposuctioned"
"$#*! My Dad Says","The 37th Annual People's Choice Awards"
"$#*! My Dad Says","The Snatch Game"
"$#*! My Dad Says","To Be Takei"
"$#*! My Dad Says","TwiGH School Musical/Avenger Time"
"$100,000 Name That Tune","Hercules"
"$25 Million Dollar Hoax","Million Pound Hoax"
"$40 a Day","(#12.108)"
"$40 a Day","Disaster Movie"
"$weepstake$","Behind the Camera: The Unauthorized Story of 'Diff'rent Strokes'"
"(#1.1)","'8 Out of 10 Cats' Does 'Deal or No Deal'"
"(#1.1)","'8 Out of 10 Cats' Does 'Deal or No Deal'"
"(#1.1)","'Breaker' Morant"
"(#1.1)","'Breaker' Morant"
"(#1.1)","(#1.1)"
"(#1.1)","(#1.1)"
"(#1.1)","(#1.1)"
"(#1.1)","(#1.1)"
"(#1.1)","(#1.1)"
"(#1.1)","(#1.1)"
"(#1.1)","(#1.1)"
"(#1.1)","(#1.1)"
"(#1.1)","(#1.1)"
"(#1.1)","(#1.1)"
"(#1.1)","(#1.2)"
"(#1.1)","(#1.2)"
"(#1.1)","(#1.25)"
"(#1.1)","(#1.42)"
"(#1.1)","(#1.74)"
"(#1.1)","(#1.79)"
"(#1.1)","(#1.83)"
"(#1.1)","(#1.86)"
"(#1.1)","(#10.7)"
"(#1.1)","(#15.1)"
"(#1.1)","(#15.1)"
"(#1.1)","(#16.15)"
"(#1.1)","(#16.15)"
"(#1.1)","(#17.6)"
"(#1.1)","(#17.6)"
"(#1.1)","(#17.6)"
"(#1.1)","(#17.6)"
"(#1.1)","(#17.6)"
"(#1.1)","(#17.6)"
"(#1.1)","(#17.6)"
"(#1.1)","(#18.1)"
"(#1.1)","(#18.11)"
"(#1.1)","(#18.17)"
"(#1.1)","(#19.104)"
"(#1.1)","(#19.132)"
"(#1.1)","(#19.15)"
"(#1.1)","(#19.152)"
"(#1.1)","(#19.17)"
"(#1.1)","(#19.187)"
"(#1.1)","(#19.34)"
"(#1.1)","(#19.54)"
"(#1.1)","(#19.59)"
"(#1.1)","(#19.64)"
"(#1.1)","(#19.68)"
"(#1.1)","(#19.69)"
"(#1.1)","(#19.85)"
"(#1.1)","(#19.89)"
"(#1.1)","(#2.3)"
"(#1.1)","(#2.36)"
"(#1.1)","(#20.103)"
"(#1.1)","(#20.104)"
"(#1.1)","(#20.11)"
"(#1.1)","(#20.122)"
"(#1.1)","(#20.150)"
"(#1.1)","(#20.17)"
"(#1.1)","(#20.198)"
"(#1.1)","(#20.25)"
"(#1.1)","(#20.37)"
"(#1.1)","(#20.38)"
"(#1.1)","(#20.6)"
"(#1.1)","(#21.15)"
"(#1.1)","(#21.210)"
"(#1.1)","(#21.34)"
"(#1.1)","(#21.84)"
"(#1.1)","(#22.16)"
"(#1.1)","(#22.2)"
"(#1.1)","(#22.70)"
"(#1.1)","(#22.85)"
"(#1.1)","(#22.89)"
"(#1.1)","(#24.1)"
"(#1.1)","(#26.152)"
"(#1.1)","(#26.31)"
"(#1.1)","(#26.98)"
"(#1.1)","(#37.8)"
"(#1.1)","(#37.8)"
"(#1.1)","(#37.8)"
"(#1.1)","(#37.8)"
"(#1.1)","(#37.8)"
"(#1.1)","(#37.8)"
"(#1.1)","(#37.8)"
"(#1.1)","(#4.6)"
"(#1.1)","(#4.6)"
"(#1.1)","(#48.1)"
"(#1.1)","(#48.3)"
